ps3,best_match,percent,all_matches,,,,
sprites\be2\1\be2_b11_1_warai8.png,bmp\tati\be2\2\be2_waraia8,100,"('bmp\\tati\\be2\\2\\be2_waraia8', 1)",,,,
sprites\be2\1\be2_b11_fuman3.png,bmp\tati\be2\2\be2_fumana3,100,"('bmp\\tati\\be2\\2\\be2_fumana3', 5)",,,,
sprites\be2\1\be2_b11_1_hanbeso3star.png,bmp\tati\be2\2\be2_hanbesoa3,100,"('bmp\\tati\\be2\\2\\be2_hanbesoa3', 1)",,,,
sprites\be2\1\be2_b11_fuman2.png,bmp\tati\be2\2\be2_fumana2,100,"('bmp\\tati\\be2\\2\\be2_fumana2', 3)",,,,
sprites\be2\1\be2_b11_komaru3.png,bmp\tati\be2\2\be2_komarua3,100,"('bmp\\tati\\be2\\2\\be2_komarua3', 2)",,,,
sprites\be2\1\be2_b11_1_warai6.png,bmp\tati\be2\2\be2_waraia6,100,"('bmp\\tati\\be2\\2\\be2_waraia6', 1)",,,,
sprites\sak\1\sak_a11_warai1.png,bmp\tati\sak\1\sak_waraia1,100,"('bmp\\tati\\sak\\1\\sak_waraia1', 5)",,,,
sprites\be2\1\be2_b11_futeki2.png,bmp\tati\be2\2\be2_futekia2,100,"('bmp\\tati\\be2\\2\\be2_futekia2', 4)",,,,
sprites\sak\1\sak_a12_warai3.png,bmp\tati\sak\1\sak_waraia3,100,"('bmp\\tati\\sak\\1\\sak_waraia3', 2)",,,,
sprites\be2\1\be2_b11_def1.png,bmp\tati\be2\2\be2_defa1,100,"('bmp\\tati\\be2\\2\\be2_defa1', 5)",,,,
sprites\ron\1\ron_a23_warai1.png,bmp\tati\ron\1\ron_waraia1,100,"('bmp\\tati\\ron\\1\\ron_waraia1', 2)",,,,
sprites\be2\1\be2_b11_warai4.png,bmp\tati\be2\2\be2_waraia4,100,"('bmp\\tati\\be2\\2\\be2_waraia4', 2)",,,,
sprites\be2\1\be2_b11_warai2.png,bmp\tati\be2\2\be2_waraia2,100,"('bmp\\tati\\be2\\2\\be2_waraia2', 8)",,,,
sprites\be2\1\be2_b11_futeki1.png,bmp\tati\be2\2\be2_futekia1,100,"('bmp\\tati\\be2\\2\\be2_futekia1', 6)",,,,
sprites\be2\1\be2_b11_1_warai1.png,bmp\tati\be2\2\be2_waraia1,100,"('bmp\\tati\\be2\\2\\be2_waraia1', 3)",,,,
sprites\mar\1\mar_c21_warai2.png,bmp\tati\mar\1\mar_waraia2,100,"('bmp\\tati\\mar\\1\\mar_waraia2', 1)",,,,
sprites\mar\1\mar_c11_akuwarai1.png,bmp\tati\mar\1\mar_akuwaraia1,100,"('bmp\\tati\\mar\\1\\mar_akuwaraia1', 1)",,,,
sprites\mar\1\mar_c11_majime1.png,bmp\tati\mar\1\mar_majimea1,100,"('bmp\\tati\\mar\\1\\mar_majimea1', 1)",,,,
sprites\ros\1\ros_c11_warai1.png,bmp\tati\ros\1\ros_waraia1,100,"('bmp\\tati\\ros\\1\\ros_waraia1', 1)",,,,
sprites\mar\1\mar_c11_uu1.png,bmp\tati\mar\1\mar_fukigena1,100,"('bmp\\tati\\mar\\1\\mar_fukigena1', 1)",,,,
sprites\ros\1\ros_c12_aseru1.png,bmp\tati\ros\1\ros_aserua1,100,"('bmp\\tati\\ros\\1\\ros_aserua1', 1)",,,,
sprites\ros\1\ros_c12_majime1.png,bmp\tati\ros\1\ros_majimea1,100,"('bmp\\tati\\ros\\1\\ros_majimea1', 1)",,,,
sprites\ros\1\ros_c11_nayamu1.png,bmp\tati\ros\1\ros_nayamua1,100,"('bmp\\tati\\ros\\1\\ros_nayamua1', 1)",,,,
sprites\be2\1\be2_b11_majime1.png,bmp\tati\be2\2\be2_majimea1,100,"('bmp\\tati\\be2\\2\\be2_majimea1', 8)",,,,
sprites\be2\1\be2_b11_nayamu1.png,bmp\tati\be2\2\be2_nayamua1,100,"('bmp\\tati\\be2\\2\\be2_nayamua1', 10)",,,,
sprites\be2\1\be2_b11_1_majime6.png,bmp\tati\be2\2\be2_majimea6,100,"('bmp\\tati\\be2\\2\\be2_majimea6', 3)",,,,
sprites\be2\1\be2_b11_majime2.png,bmp\tati\be2\2\be2_majimea2,100,"('bmp\\tati\\be2\\2\\be2_majimea2', 3)",,,,
sprites\cur\1\cur_a11_nayamu4.png,bmp\tati\cur\1\cur_nayamua4,100,"('bmp\\tati\\cur\\1\\cur_nayamua4', 1)",,,,
sprites\rg5\1\rg5_e11_def1.png,bmp\tati\rg5\2\rg5_defa1,100,"('bmp\\tati\\rg5\\2\\rg5_defa1', 1)",,,,
sprites\rg5\1\rg5_e11_akuwarai2.png,bmp\tati\rg5\2\rg5_akuwaraia2,100,"('bmp\\tati\\rg5\\2\\rg5_akuwaraia2', 1)",,,,
sprites\rg5\1\rg5_e21_fuman2.png,bmp\tati\rg5\2\rg5_fumana2,100,"('bmp\\tati\\rg5\\2\\rg5_fumana2', 1)",,,,
sprites\rg5\1\rg5_e11_fuman1.png,bmp\tati\rg5\2\rg5_fumana1,100,"('bmp\\tati\\rg5\\2\\rg5_fumana1', 2)",,,,
sprites\rg5\1\rg5_e21_akuwarai4.png,bmp\tati\rg5\2\rg5_akuwaraia4,100,"('bmp\\tati\\rg5\\2\\rg5_akuwaraia4', 3)",,,,
sprites\rg5\1\rg5_e11_akuwarai1.png,bmp\tati\rg5\2\rg5_akuwaraia1,100,"('bmp\\tati\\rg5\\2\\rg5_akuwaraia1', 3)",,,,
sprites\cur\1\cur_a11_majime2.png,bmp\tati\cur\1\cur_majimea2,100,"('bmp\\tati\\cur\\1\\cur_majimea2', 7)",,,,
sprites\cur\1\cur_a11_odoroki4.png,bmp\tati\cur\1\cur_odorokia4,100,"('bmp\\tati\\cur\\1\\cur_odorokia4', 1)",,,,
sprites\cur\1\cur_a11_majime6.png,bmp\tati\cur\1\cur_majimea6,100,"('bmp\\tati\\cur\\1\\cur_majimea6', 4)",,,,
sprites\cur\1\cur_a11_fukigen2.png,bmp\tati\cur\1\cur_fukigena3,,MANUAL_NOTE: pachinko sprite doesn't exist,,,,
sprites\cur\1\cur_a11_fukigen3.png,bmp\tati\cur\1\cur_fukigena3,100,"('bmp\\tati\\cur\\1\\cur_fukigena3', 1)",,,,
sprites\cur\1\cur_a11_majime4.png,bmp\tati\cur\1\cur_majimea4,100,"('bmp\\tati\\cur\\1\\cur_majimea4', 11)",,,,
sprites\rud\1\rud_a13_komaru1.png,bmp\tati\rud\1\rud_komarua1,100,"('bmp\\tati\\rud\\1\\rud_komarua1', 1)",,,,
sprites\rg5\1\rg5_e11_odoroki3.png,bmp\tati\rg5\2\rg5_odorokia3,100,"('bmp\\tati\\rg5\\2\\rg5_odorokia3', 1)",,,,
sprites\cur\1\cur_a11_nayamu3.png,bmp\tati\cur\1\cur_nayamua3,100,"('bmp\\tati\\cur\\1\\cur_nayamua3', 4)",,,,
sprites\cur\1\cur_a11_fuman2.png,bmp\tati\cur\1\cur_fumana2,100,"('bmp\\tati\\cur\\1\\cur_fumana2', 10)",,,,
sprites\cur\1\cur_a11_majime7.png,bmp\tati\cur\1\cur_majimea7,100,"('bmp\\tati\\cur\\1\\cur_majimea7', 4)",,,,
sprites\cur\1\cur_a11_majime3star.png,bmp\tati\cur\1\cur_majimea3,100,"('bmp\\tati\\cur\\1\\cur_majimea3', 8)",,,,
sprites\cur\1\cur_a11_majime5star.png,bmp\tati\cur\1\cur_majimea5,100,"('bmp\\tati\\cur\\1\\cur_majimea5', 2)",,,,
sprites\kaw\1\kaw_a12_def2.png,bmp\tati\kaw\1\kaw_defa2,100,"('bmp\\tati\\kaw\\1\\kaw_defa2', 3)",,,,
sprites\cur\1\cur_a11_komaru3.png,bmp\tati\cur\1\cur_komarua3,100,"('bmp\\tati\\cur\\1\\cur_komarua3', 3)",,,,
sprites\cur\1\cur_a11_fuman1.png,bmp\tati\cur\1\cur_fumana1,100,"('bmp\\tati\\cur\\1\\cur_fumana1', 1)",,,,
sprites\cur\1\cur_a11_komaru4.png,bmp\tati\cur\1\cur_komarua4,100,"('bmp\\tati\\cur\\1\\cur_komarua4', 6)",,,,
sprites\cur\1\cur_a11_aseru2.png,bmp\tati\cur\1\cur_aserua2,100,"('bmp\\tati\\cur\\1\\cur_aserua2', 1)",,,,
sprites\cur\1\cur_a11_iiwake1.png,bmp\tati\cur\1\cur_iiwakea1,100,"('bmp\\tati\\cur\\1\\cur_iiwakea1', 1)",,,,
sprites\cur\1\cur_a11_aseru4.png,bmp\tati\cur\1\cur_aserua4,100,"('bmp\\tati\\cur\\1\\cur_aserua4', 1)",,,,
sprites\cur\1\cur_a11_komaru1.png,bmp\tati\cur\1\cur_komarua1,100,"('bmp\\tati\\cur\\1\\cur_komarua1', 2)",,,,
sprites\cur\1\cur_a11_aseru1.png,bmp\tati\cur\1\cur_aserua1,100,"('bmp\\tati\\cur\\1\\cur_aserua1', 4)",,,,
sprites\cur\1\cur_a11_odoroki2.png,bmp\tati\cur\1\cur_odorokia2,100,"('bmp\\tati\\cur\\1\\cur_odorokia2', 3)",,,,
sprites\cur\1\cur_a11_odoroki3.png,bmp\tati\cur\1\cur_odorokia3,100,"('bmp\\tati\\cur\\1\\cur_odorokia3', 8)",,,,
sprites\cur\1\cur_a11_warai4.png,bmp\tati\cur\1\cur_waraia4,100,"('bmp\\tati\\cur\\1\\cur_waraia4', 3)",,,,
sprites\cur\1\cur_a11_warai6.png,bmp\tati\cur\1\cur_waraia6,100,"('bmp\\tati\\cur\\1\\cur_waraia6', 4)",,,,
sprites\cur\1\cur_a11_warai8.png,bmp\tati\cur\1\cur_waraia8,100,"('bmp\\tati\\cur\\1\\cur_waraia8', 9)",,,,
sprites\rg5\1\rg5_e11_warai1.png,bmp\tati\rg5\2\rg5_waraia1,100,"('bmp\\tati\\rg5\\2\\rg5_waraia1', 4)",,,,
sprites\rg5\1\rg5_e11_hohoemi1.png,bmp\tati\rg5\2\rg5_hohoemia1,100,"('bmp\\tati\\rg5\\2\\rg5_hohoemia1', 2)",,,,
sprites\cur\1\cur_a11_akuwarai4.png,bmp\tati\cur\1\cur_akuwaraia4,100,"('bmp\\tati\\cur\\1\\cur_akuwaraia4', 1)",,,,
sprites\cur\1\cur_a11_akuwarai3.png,bmp\tati\cur\1\cur_akuwaraia3,100,"('bmp\\tati\\cur\\1\\cur_akuwaraia3', 1)",,,,
sprites\cur\1\cur_a11_futeki2.png,bmp\tati\cur\1\cur_futekia2,100,"('bmp\\tati\\cur\\1\\cur_futekia2', 6)",,,,
sprites\cur\1\cur_a11_futeki1.png,bmp\tati\cur\1\cur_futekia1,100,"('bmp\\tati\\cur\\1\\cur_futekia1', 1)",,,,
sprites\cur\1\cur_a11_fuman3.png,bmp\tati\cur\1\cur_fumana3,100,"('bmp\\tati\\cur\\1\\cur_fumana3', 22)",,,,
sprites\cur\1\cur_a11_akuwarai2.png,bmp\tati\cur\1\cur_akuwaraia2,100,"('bmp\\tati\\cur\\1\\cur_akuwaraia2', 1)",,,,
sprites\cur\1\cur_a11_warai1.png,bmp\tati\cur\1\cur_waraia1,100,"('bmp\\tati\\cur\\1\\cur_waraia1', 9)",,,,
sprites\cur\1\cur_a11_warai3.png,bmp\tati\cur\1\cur_waraia3,100,"('bmp\\tati\\cur\\1\\cur_waraia3', 2)",,,,
sprites\cur\1\cur_a11_def2.png,bmp\tati\cur\1\cur_defa2,100,"('bmp\\tati\\cur\\1\\cur_defa2', 11)",,,,
sprites\cur\1\cur_a11_warai2.png,bmp\tati\cur\1\cur_waraia2,100,"('bmp\\tati\\cur\\1\\cur_waraia2', 11)",,,,
sprites\cur\1\cur_a11_akuwarai1.png,bmp\tati\cur\1\cur_akuwaraia1,100,"('bmp\\tati\\cur\\1\\cur_akuwaraia1', 4)",,,,
sprites\cur\1\cur_a11_def1.png,bmp\tati\cur\1\cur_defa1,100,"('bmp\\tati\\cur\\1\\cur_defa1', 12)",,,,
sprites\rg7\1\rg7_e21_odoroki3.png,bmp\tati\rg7\2\rg7_odorokia3,100,"('bmp\\tati\\rg7\\2\\rg7_odorokia3', 1)",,,,
sprites\rg6\1\rg6_e11_ikari1.png,bmp\tati\rg6\2\rg6_ikaria1,100,"('bmp\\tati\\rg6\\2\\rg6_ikaria1', 1)",,,,
sprites\rg7\1\rg7_e21_komaru1.png,bmp\tati\rg7\2\rg7_komarua1,100,"('bmp\\tati\\rg7\\2\\rg7_komarua1', 2)",,,,
sprites\rg7\1\rg7_e11_komaru3.png,bmp\tati\rg7\2\rg7_komarua3,100,"('bmp\\tati\\rg7\\2\\rg7_komarua3', 2)",,,,
sprites\rg7\1\rg7_e21_komaru2.png,bmp\tati\rg7\2\rg7_komarua2,100,"('bmp\\tati\\rg7\\2\\rg7_komarua2', 5)",,,,
sprites\rg7\1\rg7_e11_odoroki3.png,bmp\tati\rg7\2\rg7_odorokia3,100,"('bmp\\tati\\rg7\\2\\rg7_odorokia3', 4)",,,,
sprites\rg6\1\rg6_e11_komaru3.png,bmp\tati\rg6\2\rg6_komarua3,100,"('bmp\\tati\\rg6\\2\\rg6_komarua3', 4)",,,,
sprites\rg7\1\rg7_e11_fuman1.png,bmp\tati\rg7\2\rg7_fumana1,100,"('bmp\\tati\\rg7\\2\\rg7_fumana1', 1)",,,,
sprites\rg6\1\rg6_e31_komaru2.png,bmp\tati\rg6\2\rg6_komarua2,100,"('bmp\\tati\\rg6\\2\\rg6_komarua2', 8)",,,,
sprites\rg6\1\rg6_e31_komaru1.png,bmp\tati\rg6\2\rg6_komarua1,100,"('bmp\\tati\\rg6\\2\\rg6_komarua1', 3)",,,,
sprites\rg7\1\rg7_e21_fuman2.png,bmp\tati\rg7\2\rg7_fumana2,100,"('bmp\\tati\\rg7\\2\\rg7_fumana2', 3)",,,,
sprites\rg7\1\rg7_e11_akuwarai1.png,bmp\tati\rg7\2\rg7_akuwaraia1,100,"('bmp\\tati\\rg7\\2\\rg7_akuwaraia1', 3)",,,,
sprites\rg6\1\rg6_e11_akuwarai1.png,bmp\tati\rg6\2\rg6_akuwaraia1,100,"('bmp\\tati\\rg6\\2\\rg6_akuwaraia1', 2)",,,,
sprites\rg6\1\rg6_e31_akuwarai4.png,bmp\tati\rg6\2\rg6_akuwaraia4,100,"('bmp\\tati\\rg6\\2\\rg6_akuwaraia4', 2)",,,,
sprites\rg6\1\rg6_e11_warai1.png,bmp\tati\rg6\2\rg6_waraia1,100,"('bmp\\tati\\rg6\\2\\rg6_waraia1', 3)",,,,
sprites\rg7\1\rg7_e11_warai3.png,bmp\tati\rg7\2\rg7_waraia2,100,"('bmp\\tati\\rg7\\2\\rg7_waraia2', 5)",,,,
sprites\rg6\1\rg6_e11_warai3.png,bmp\tati\rg6\2\rg6_waraia2,100,"('bmp\\tati\\rg6\\2\\rg6_waraia2', 3)",,,,
sprites\rg7\1\rg7_e11_warai1.png,bmp\tati\rg7\2\rg7_waraia1,100,"('bmp\\tati\\rg7\\2\\rg7_waraia1', 4)",,,,
sprites\rg4\1\rg4_e11_akuwarai1.png,bmp\tati\rg4\2\rg4_akuwaraia1,100,"('bmp\\tati\\rg4\\2\\rg4_akuwaraia1', 1)",,,,
sprites\rg2\1\rg2_e21_fuman1.png,bmp\tati\rg2\2\rg2_fumana1,100,"('bmp\\tati\\rg2\\2\\rg2_fumana1', 1)",,,,
sprites\rg3\1\rg3_e11_def1.png,bmp\tati\rg3\2\rg3_defa1,100,"('bmp\\tati\\rg3\\2\\rg3_defa1', 1)",,,,
sprites\rg1\1\rg1_e11_naku1.png,bmp\tati\rg1\2\rg1_odorokia2,100,"('bmp\\tati\\rg1\\2\\rg1_odorokia2', 1)",,,,
sprites\rg1\1\rg1_e11_odoroki3.png,bmp\tati\rg1\2\rg1_odorokia3,100,"('bmp\\tati\\rg1\\2\\rg1_odorokia3', 1)",,,,
bmp\tati\sha\1\sha_fumana1,bmp\tati\rg1\2\rg1_odorokia1,100,"('bmp\\tati\\rg1\\2\\rg1_odorokia1', 1)",,,,
bmp\tati\rg3\2\rg3_fumana1,bmp\tati\rg2\2\rg2_waraia1,100,"('bmp\\tati\\rg2\\2\\rg2_waraia1', 1)",,,,
sprites\rg1\1\rg1_e11_odoroki1.png,bmp\tati\rg1\2\rg1_odorokia2,100,"('bmp\\tati\\rg1\\2\\rg1_odorokia2', 1)",,,,
sprites\rg1\1\rg1_e11_akuwarai1.png,bmp\tati\rg1\2\rg1_akuwaraia1,100,"('bmp\\tati\\rg1\\2\\rg1_akuwaraia1', 2)",,,,
sprites\rg2\1\rg2_e11_hohoemi1.png,sprites\sha\1\sha_a11_def1.png,100,"('sprites\\sha\\1\\sha_a11_def1.png', 1)",,,,
bmp\tati\rg1\2\rg1_hohoemia2,bmp\tati\rg1\2\rg1_hohoemia1,100,"('bmp\\tati\\rg1\\2\\rg1_hohoemia1', 1)",,,,
bmp\tati\rg2\2\rg2_hohoemia2,bmp\tati\rg2\2\rg2_hohoemia1,100,"('bmp\\tati\\rg2\\2\\rg2_hohoemia1', 1)",,,,
bmp\tati\sha\1\sha_waraia1,bmp\tati\sha\1\sha_defa1,100,"('bmp\\tati\\sha\\1\\sha_defa1', 1)",,,,
sprites\nat\1\nat_a11_ikari2.png,bmp\tati\nat\1\nat_ikaria2,100,"('bmp\\tati\\nat\\1\\nat_ikaria2', 1)",,,,
sprites\rg3\1\rg3_e21_odoroki1.png,bmp\tati\rg3\2\rg3_odorokia2,100,"('bmp\\tati\\rg3\\2\\rg3_odorokia2', 1)",,,,
sprites\rg2\1\rg2_e11_fuman1.png,bmp\tati\rg2\2\rg2_fumana1,100,"('bmp\\tati\\rg2\\2\\rg2_fumana1', 2)",,,,
sprites\rg4\1\rg4_e21_fuman2.png,bmp\tati\rg4\2\rg4_fumana2,100,"('bmp\\tati\\rg4\\2\\rg4_fumana2', 2)",,,,
sprites\rg3\1\rg3_e21_fuman2.png,bmp\tati\rg3\2\rg3_fumana2,100,"('bmp\\tati\\rg3\\2\\rg3_fumana2', 4)",,,,
sprites\rg2\1\rg2_e21_akuwarai1.png,bmp\tati\rg2\2\rg2_akuwaraia1,100,"('bmp\\tati\\rg2\\2\\rg2_akuwaraia1', 1)",,,,
sprites\rg4\1\rg4_e11_def1.png,bmp\tati\rg4\2\rg4_defa1,100,"('bmp\\tati\\rg4\\2\\rg4_defa1', 1)",,,,
sprites\rg3\1\rg3_e21_ikari1.png,bmp\tati\rg3\2\rg3_ikaria1,100,"('bmp\\tati\\rg3\\2\\rg3_ikaria1', 1)",,,,
sprites\gap\1\gap_a11_akuwarai5.png,bmp\tati\gap\1\gap_akuwaraia5,100,"('bmp\\tati\\gap\\1\\gap_akuwaraia5', 3)",,,,
sprites\kum\1\kum_a12_def2.png,bmp\tati\kum\1\kum_defa2,100,"('bmp\\tati\\kum\\1\\kum_defa2', 1)",,,,
sprites\rg4\1\rg4_e11_fuman1.png,bmp\tati\rg4\2\rg4_fumana1,100,"('bmp\\tati\\rg4\\2\\rg4_fumana1', 1)",,,,
sprites\rg4\1\rg4_e11_hohoemi1.png,bmp\tati\rg4\2\rg4_hohoemia1,100,"('bmp\\tati\\rg4\\2\\rg4_hohoemia1', 1)",,,,
sprites\rg3\1\rg3_e21_komaru1.png,bmp\tati\rg3\2\rg3_komarua1,100,"('bmp\\tati\\rg3\\2\\rg3_komarua1', 2)",,,,
sprites\cur\1\cur_a11_houshin2star.png,bmp\tati\cur\1\cur_housina2,100,"('bmp\\tati\\cur\\1\\cur_housina2', 6)",,,,
sprites\fur\1\fur_a12_majime2.png,bmp\tati\fur\1\fur_majimea2,100,"('bmp\\tati\\fur\\1\\fur_majimea2', 1)",,,,
sprites\zep\1\zep_a12_akire1.png,bmp\tati\zep\1\zep_akirea1,100,"('bmp\\tati\\zep\\1\\zep_akirea1', 1)",,,,
sprites\cur\1\cur_a11_houshin3star.png,bmp\tati\cur\1\cur_housina3,100,"('bmp\\tati\\cur\\1\\cur_housina3', 11)",,,,
sprites\rg3\1\rg3_e11_fuman1.png,bmp\tati\rg3\2\rg3_fumana1,100,"('bmp\\tati\\rg3\\2\\rg3_fumana1', 4)",,,,
sprites\rg2\1\rg2_e21_fuman2.png,bmp\tati\rg2\2\rg2_fumana2,100,"('bmp\\tati\\rg2\\2\\rg2_fumana2', 2)",,,,
sprites\cla\1\cla_a14_akuwarai2.png,bmp\tati\kla\1\kla_akuwaraia2,100,"('bmp\\tati\\kla\\1\\kla_akuwaraia2', 4)",,,,
sprites\fur\1\fur_a12_warai3.png,bmp\tati\fur\1\fur_waraia3,100,"('bmp\\tati\\fur\\1\\fur_waraia3', 1)",,,,
sprites\cla\1\cla_a14_def1.png,bmp\tati\kla\1\kla_defa1,100,"('bmp\\tati\\kla\\1\\kla_defa1', 1)",,,,
sprites\cur\1\cur_a11_majime1.png,bmp\tati\cur\1\cur_majimea1,100,"('bmp\\tati\\cur\\1\\cur_majimea1', 30)",,,,
sprites\rg1\1\rg1_e21_komaru1.png,bmp\tati\rg1\2\rg1_komarua1,100,"('bmp\\tati\\rg1\\2\\rg1_komarua1', 3)",,,,
sprites\rg1\1\rg1_e11_def1.png,bmp\tati\rg1\2\rg1_defa1,100,"('bmp\\tati\\rg1\\2\\rg1_defa1', 2)",,,,
sprites\rg1\1\rg1_e11_fuman1.png,bmp\tati\rg1\2\rg1_fumana1,100,"('bmp\\tati\\rg1\\2\\rg1_fumana1', 7)",,,,
sprites\rg1\1\rg1_e21_fuman2.png,bmp\tati\rg1\2\rg1_fumana2,100,"('bmp\\tati\\rg1\\2\\rg1_fumana2', 2)",,,,
sprites\cur\1\cur_a11_houshin1star.png,bmp\tati\cur\1\cur_housina1,100,"('bmp\\tati\\cur\\1\\cur_housina1', 45)",,,,
sprites\rio\1\rio_a12_def2.png,bmp\tati\rio\1\rio_defa2,100,"('bmp\\tati\\rio\\1\\rio_defa2', 3)",,,,
sprites\wil\1\wil_a12_nayamu1.png,bmp\tati\wil\1\wil_nayamua1,100,"('bmp\\tati\\wil\\1\\wil_nayamua1', 2)",,,,
sprites\wil\1\wil_a12_komaru1.png,bmp\tati\wil\1\wil_komarua1,100,"('bmp\\tati\\wil\\1\\wil_komarua1', 1)",,,,
sprites\wil\1\wil_a12_majime2.png,bmp\tati\wil\1\wil_majimea2,100,"('bmp\\tati\\wil\\1\\wil_majimea2', 4)",,,,
sprites\rio\1\rio_a11_itai1.png,bmp\tati\rio\1\rio_itaia1,100,"('bmp\\tati\\rio\\1\\rio_itaia1', 9)",,,,
sprites\rio\1\rio_a11_sakebu1.png,bmp\tati\rio\1\rio_sakebua1,100,"('bmp\\tati\\rio\\1\\rio_sakebua1', 3)",,,,
sprites\rio\1\rio_a12_komaru1.png,bmp\tati\rio\1\rio_komarua1,100,"('bmp\\tati\\rio\\1\\rio_komarua1', 1)",,,,
sprites\rio\1\rio_a12_akire1a.png,bmp\tati\rio\1\rio_akirea1a,100,"('bmp\\tati\\rio\\1\\rio_akirea1a', 1)",,,,
sprites\rio\1\rio_a13_komaru1.png,bmp\tati\rio\1\rio_komarua1,100,"('bmp\\tati\\rio\\1\\rio_komarua1', 3)",,,,
sprites\rio\1\rio_a12_warai1.png,bmp\tati\rio\1\rio_waraia1,100,"('bmp\\tati\\rio\\1\\rio_waraia1', 2)",,,,
sprites\jes\1\jes_a11_futeki1.png,bmp\tati\jes\1\jes_futekia1,100,"('bmp\\tati\\jes\\1\\jes_futekia1', 10)",,,,
sprites\wil\1\wil_a21_def1.png,bmp\tati\wil\1\wil_defa1,100,"('bmp\\tati\\wil\\1\\wil_defa1', 3)",,,,
sprites\jes\1\jes_a11_atya1.png,bmp\tati\jes\1\jes_atyaa1,100,"('bmp\\tati\\jes\\1\\jes_atyaa1', 14)",,,,
sprites\be2\1\be2_b11_def2.png,bmp\tati\be2\2\be2_defa2,100,"('bmp\\tati\\be2\\2\\be2_defa2', 5)",,,,
sprites\ros\1\ros_a32_komaru4.png,bmp\tati\ros\1\ros_komarua4,100,"('bmp\\tati\\ros\\1\\ros_komarua4', 1)",,,,
sprites\mar\1\mar_b22_odoroki1.png,bmp\tati\mar\2\mar_odorokia1,100,"('bmp\\tati\\mar\\2\\mar_odorokia1', 1)",,,,
sprites\mar\1\mar_b22_warai1.png,bmp\tati\mar\2\mar_waraia1,100,"('bmp\\tati\\mar\\2\\mar_waraia1', 1)",,,,
sprites\mar\1\mar_b11_odoroki1.png,bmp\tati\mar\2\mar_odorokia1,100,"('bmp\\tati\\mar\\2\\mar_odorokia1', 6)",,,,
sprites\mar\1\mar_b22_warai2.png,bmp\tati\mar\2\mar_waraia2,100,"('bmp\\tati\\mar\\2\\mar_waraia2', 17)",,,,
sprites\mar\1\mar_b11_def1.png,bmp\tati\mar\2\mar_defa1,100,"('bmp\\tati\\mar\\2\\mar_defa1', 8)",,,,
sprites\rio\1\rio_b11_akire1.png,bmp\tati\rio\1\rio_akirea1,100,"('bmp\\tati\\rio\\1\\rio_akirea1', 1)",,,,
sprites\bea\1\bea_c11_warai7.png,bmp\tati\bea\3\bea_waraia7,100,"('bmp\\tati\\bea\\3\\bea_waraia7', 2)",,,,
sprites\bea\1\bea_c11_odoroki4.png,bmp\tati\bea\3\bea_odorokia4,100,"('bmp\\tati\\bea\\3\\bea_odorokia4', 1)",,,,
sprites\bea\1\bea_c11_arigatou.png,bmp\tati\bea\3\bea_arigatoua1,100,"('bmp\\tati\\bea\\3\\bea_arigatoua1', 2)",,,,
sprites\bea\1\bea_c11_hanbeso3star.png,bmp\tati\bea\3\bea_hanbesoa3,100,"('bmp\\tati\\bea\\3\\bea_hanbesoa3', 1)",,,,
sprites\bea\1\bea_c11_gaman4.png,bmp\tati\bea\3\bea_gamana4,100,"('bmp\\tati\\bea\\3\\bea_gamana4', 1)",,,,
sprites\bea\1\bea_c11_aseru2.png,bmp\tati\bea\3\bea_aserua2,100,"('bmp\\tati\\bea\\3\\bea_aserua2', 2)",,,,
sprites\bea\1\bea_c11_aseru4.png,bmp\tati\bea\3\bea_aserua4,100,"('bmp\\tati\\bea\\3\\bea_aserua4', 3)",,,,
sprites\bea\1\bea_c11_aseru1.png,bmp\tati\bea\3\bea_aserua1,100,"('bmp\\tati\\bea\\3\\bea_aserua1', 1)",,,,
sprites\ki2\1\ki2_a11_odoroki1.png,bmp\tati\ki2\1\ki2_odorokia1,100,"('bmp\\tati\\ki2\\1\\ki2_odorokia1', 2)",,,,
sprites\bea\1\bea_c11_nayamu4.png,bmp\tati\bea\3\bea_nayamua3,,MANUAL_NOTE: pachinko sprite doesn't exist,,,,
sprites\bea\1\bea_c11_komaru3.png,bmp\tati\bea\3\bea_komarua3,100,"('bmp\\tati\\bea\\3\\bea_komarua3', 2)",,,,
sprites\bea\1\bea_c11_nayamu3.png,bmp\tati\bea\3\bea_nayamua3,100,"('bmp\\tati\\bea\\3\\bea_nayamua3', 1)",,,,
sprites\ki2\1\ki2_a11_aseru3.png,bmp\tati\ki2\1\ki2_aserua3,100,"('bmp\\tati\\ki2\\1\\ki2_aserua3', 3)",,,,
sprites\ki2\1\ki2_a11_aseru2.png,bmp\tati\ki2\1\ki2_aserua2,100,"('bmp\\tati\\ki2\\1\\ki2_aserua2', 6)",,,,
sprites\ki2\1\ki2_a11_aseru1.png,bmp\tati\ki2\1\ki2_aserua1,100,"('bmp\\tati\\ki2\\1\\ki2_aserua1', 3)",,,,
sprites\bea\1\bea_c11_majime6.png,bmp\tati\bea\3\bea_majimea6,100,"('bmp\\tati\\bea\\3\\bea_majimea6', 1)",,,,
sprites\bea\1\bea_c11_majime3star.png,bmp\tati\bea\3\bea_majimea3,100,"('bmp\\tati\\bea\\3\\bea_majimea3', 2)",,,,
