ps3,best_match,percent,all_matches,,,,
sprites\ros\1\ros_a14_akuwarai1.png,bmp\tati\ros\1\ros_akuwaraia1g,100,"('bmp\\tati\\ros\\1\\ros_akuwaraia1g', 1)",,,,
sprites\ros\1\ros_a14_warai2.png,bmp\tati\ros\1\ros_waraia2g,100,"('bmp\\tati\\ros\\1\\ros_waraia2g', 1)",,,,
sprites\ros\1\ros_a11_ikari3.png,bmp\tati\ros\1\ros_ikaria3,100,"('bmp\\tati\\ros\\1\\ros_ikaria3', 3)",,,,
sprites\ros\1\ros_a11_ikari4.png,bmp\tati\ros\1\ros_ikaria4,100,"('bmp\\tati\\ros\\1\\ros_ikaria4', 4)",,,,
sprites\hid\1\hid_a11_aseri1.png,bmp\tati\hid\1\hid_komarua2,100,"('bmp\\tati\\hid\\1\\hid_komarua2', 1)",,,,
sprites\cla\1\cla_a15_ikari1.png,bmp\tati\kla\1\kla_ikaria1g,100,"('bmp\\tati\\kla\\1\\kla_ikaria1g', 4)",,,,
sprites\eva\1\eva_b24_ikari2.png,bmp\tati\eva\1\eva_ikaria2g,100,"('bmp\\tati\\eva\\1\\eva_ikaria2g', 5)",,,,
sprites\eva\1\eva_b24_odoroki2.png,bmp\tati\eva\1\eva_odorokia2g,100,"('bmp\\tati\\eva\\1\\eva_odorokia2g', 5)",,,,
sprites\bea\1\bea_a11_1_houshin2star.png,bmp\tati\bea\1\bea_housina2,100,"('bmp\\tati\\bea\\1\\bea_housina2', 1)",,,,
sprites\cla\1\cla_a14_komaru2.png,bmp\tati\kla\1\kla_komarua2,100,"('bmp\\tati\\kla\\1\\kla_komarua2', 1)",,,,
sprites\eva\1\eva_b23_odoroki2.png,bmp\tati\eva\1\eva_odorokia2,100,"('bmp\\tati\\eva\\1\\eva_odorokia2', 1)",,,,
sprites\eva\1\eva_b11_ikari2.png,bmp\tati\eva\1\eva_ikaria2,100,"('bmp\\tati\\eva\\1\\eva_ikaria2', 1)",,,,
sprites\ros\1\ros_a11_ikari1.png,bmp\tati\ros\1\ros_ikaria1,100,"('bmp\\tati\\ros\\1\\ros_ikaria1', 3)",,,,
sprites\ros\1\ros_a13_aseru1.png,bmp\tati\ros\1\ros_aserua1,100,"('bmp\\tati\\ros\\1\\ros_aserua1', 2)",,,,
sprites\jes\1\jes_b22_nayamu1.png,bmp\tati\jes\1\jes_nayamua1,100,"('bmp\\tati\\jes\\1\\jes_nayamua1', 1)",,,,
sprites\ros\1\ros_a13_komaru4.png,bmp\tati\ros\1\ros_komarua4,100,"('bmp\\tati\\ros\\1\\ros_komarua4', 1)",,,,
sprites\fea\1\fea_b11_warai1.png,bmp\tati\fea\2\fea_waraia1,100,"('bmp\\tati\\fea\\2\\fea_waraia1', 2)",,,,
sprites\ama\1\ama_a14_def1.png,bmp\tati\ama\1\ama_defa1,100,"('bmp\\tati\\ama\\1\\ama_defa1', 1)",,,,
sprites\kan\1\kan_a11_warai2.png,bmp\tati\kan\1\kan_waraia2,100,"('bmp\\tati\\kan\\1\\kan_waraia2', 1)",,,,
sprites\bea\1\bea_a15_def2.png,bmp\tati\bea\1\bea_defb2,100,"('bmp\\tati\\bea\\1\\bea_defb2', 1)",,,,
sprites\but\1\but_a11_majime4.png,bmp\tati\but\1\but_majimea4,100,"('bmp\\tati\\but\\1\\but_majimea4', 1)",,,,
sprites\dla\1\dla_b23b_ikari1.png,bmp\tati\dla\1\dla_ikaria1b,100,"('bmp\\tati\\dla\\1\\dla_ikaria1b', 1)",,,,
sprites\dla\1\dla_b23_ikari1.png,bmp\tati\dla\1\dla_ikaria1,100,"('bmp\\tati\\dla\\1\\dla_ikaria1', 1)",,,,
sprites\rg1\1\rg1_a32_odoroki1.png,bmp\tati\rg1\1\rg1_odorokia1,100,"('bmp\\tati\\rg1\\1\\rg1_odorokia1', 1)",,,,
sprites\rg2\1\rg2_a22_akuwarai3.png,bmp\tati\rg2\1\rg2_akuwaraia3,100,"('bmp\\tati\\rg2\\1\\rg2_akuwaraia3', 1)",,,,
sprites\rg4\1\rg4_a22_ikari1.png,bmp\tati\rg4\1\rg4_ikaria1,100,"('bmp\\tati\\rg4\\1\\rg4_ikaria1', 1)",,,,
sprites\rg5\1\rg5_a32_akuwarai4.png,bmp\tati\rg5\1\rg5_akuwaraia4,100,"('bmp\\tati\\rg5\\1\\rg5_akuwaraia4', 1)",,,,
sprites\rg6\1\rg6_a12_akuwarai1.png,bmp\tati\rg6\1\rg6_akuwaraia1,100,"('bmp\\tati\\rg6\\1\\rg6_akuwaraia1', 1)",,,,
sprites\rg7\1\rg7_a12_akuwarai1.png,bmp\tati\rg7\1\rg7_akuwaraia1,100,"('bmp\\tati\\rg7\\1\\rg7_akuwaraia1', 1)",,,,
sprites\wal\1\wal_a13_ikari1.png,bmp\tati\wal\1\wal_ikaria1,100,"('bmp\\tati\\wal\\1\\wal_ikaria1', 1)",,,,
sprites\gap\1\gap_a15_akuwarai1.png,bmp\tati\gap\1\gap_akuwaraia1,100,"('bmp\\tati\\gap\\1\\gap_akuwaraia1', 1)",,,,
sprites\gap\1\gap_a15_akuwarai4.png,bmp\tati\gap\1\gap_akuwaraia4,100,"('bmp\\tati\\gap\\1\\gap_akuwaraia4', 1)",,,,
sprites\eri\1\eri_b14b_gaman2.png,bmp\tati\eri\1\eri_gamana2,100,"('bmp\\tati\\eri\\1\\eri_gamana2', 1)",,,,
sprites\eri\1\eri_b12b_odoroki2.png,bmp\tati\eri\1\eri_odorokia2,100,"('bmp\\tati\\eri\\1\\eri_odorokia2', 1)",,,,
sprites\eri\1\eri_b12b_gaman2.png,bmp\tati\eri\1\eri_gamana2,100,"('bmp\\tati\\eri\\1\\eri_gamana2', 1)",,,,
sprites\eri\1\eri_b13_odoroki2.png,bmp\tati\eri\1\eri_odorokia2,100,"('bmp\\tati\\eri\\1\\eri_odorokia2', 2)",,,,
sprites\eri\1\eri_b14b_odoroki2.png,bmp\tati\eri\1\eri_odorokia2,100,"('bmp\\tati\\eri\\1\\eri_odorokia2', 1)",,,,
sprites\eri\1\eri_b14b_odoroki1.png,bmp\tati\eri\1\eri_odorokia1,100,"('bmp\\tati\\eri\\1\\eri_odorokia1', 3)",,,,
sprites\eri\1\eri_b12b_akuwarai4.png,bmp\tati\eri\1\eri_akuwaraia4,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia4', 2)",,,,
sprites\eri\1\eri_b12b_akuwarai3.png,bmp\tati\eri\1\eri_akuwaraia3,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia3', 2)",,,,
sprites\eri\1\eri_b12b_akuwarai2.png,bmp\tati\eri\1\eri_akuwaraia2,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia2', 4)",,,,
sprites\eri\1\eri_b12b_akuwarai1.png,bmp\tati\eri\1\eri_akuwaraia1,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia1', 2)",,,,
sprites\eri\1\eri_a16_akuwarai4.png,bmp\tati\eri\1\eri_akuwaraia2,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia2', 1)",,,,
sprites\dla\1\dla_b22b_akuwarai1.png,bmp\tati\dla\1\dla_akuwaraia1b,100,"('bmp\\tati\\dla\\1\\dla_akuwaraia1b', 2)",,,,
sprites\dla\1\dla_b22_warai2.png,bmp\tati\dla\1\dla_waraia2,100,"('bmp\\tati\\dla\\1\\dla_waraia2', 1)",,,,
